Subject,Gender,Age,CardSort_AgeAdj,PMAT24_A_CR,ProcSpeed_AgeAdj,ListSort_AgeAdj,LifeSatisf_Unadj,MeanPurp_Unadj,NEOFAC_A,NEOFAC_O,NEOFAC_C,NEOFAC_N,NEOFAC_E
ID986,M,22-25,94.7,10,101.27,94.33,51,40.8,25,33,35,28,38
ID407,M,22-25,96.21,8,62.24,85.26,64.8,31.4,19,25,31,18,33
ID280,M,22-25,103.87,21,106.9,108.26,51.1,49.9,36,36,33,20,38
ID1024,M,31-35,114.81,22,95.81,107.32,42.2,31.5,27,39,27,17,20
ID1001,F,31-35,113.04,19,137.66,122.75,70.1,71.6,42,33,41,3,40
ID996,M,26-30,100.39,11,110.98,98.44,47.8,50.5,31,38,31,18,23
ID427,M,22-25,85.04,10,119.78,98.44,47,42.1,29,24,33,25,25
ID275,M,26-30,94.54,11,96.12,89.14,62.8,55.7,32,27,41,13,32
ID1089,F,26-30,96.11,21,110.48,98.44,65,45.9,44,19,40,14,25
ID408,F,22-25,97.28,7,114.51,98.44,70.1,61.6,31,24,39,12,34
ID689,M,26-30,87.02,14,69.7,103.57,67.8,71.6,35,21,43,3,44
ID657,F,22-25,96.1,8,94.05,98.44,51.8,67.7,33,27,40,18,31
ID555,F,26-30,106.87,20,70.51,102.63,57.1,50,38,24,36,17,40
ID248,M,22-25,103.66,19,85.5,89.14,60.1,51.3,41,24,40,14,32
ID1161,M,26-30,115.24,10,136.19,97.6,74.6,71.6,34,19,41,3,34
ID833,M,22-25,86.7,15,103.13,113.85,45.2,44.2,42,19,40,11,35
ID682,F,26-30,116.96,14,98.24,93.3,38.9,50,27,28,33,14,32
ID8,F,31-35,82.44,8,96.97,102.63,45.6,55.8,32,37,34,15,28
ID685,F,31-35,106.02,16,83.22,131.78,71.9,62.5,43,24,40,5,33
ID73,F,31-35,98.91,15,103.5,107.32,67.8,61.1,39,26,39,14,33
ID550,F,22-25,105.35,18,131.89,123.73,44.1,42.5,39,22,36,12,39
ID994,F,31-35,106.25,20,133.66,117.24,47.9,60.6,36,28,35,7,35
ID405,F,31-35,90.76,9,108.77,88.33,49.8,68.1,33,26,33,20,27
ID309,F,31-35,101.47,12,126.24,93.3,69.1,50,32,31,26,34,25
ID382,F,26-30,110.46,13,77.17,89.14,41.9,46.6,36,33,38,28,35
ID436,F,26-30,89.4,10,135.63,98.44,51.8,66.3,40,22,44,20,30
ID649,F,26-30,92.97,17,107.94,122.75,45.9,43.4,35,24,37,34,29
ID303,M,26-30,113.09,19,124.27,122.75,57.1,58,27,29,31,10,34
ID338,F,26-30,111.87,8,108.27,112.66,49.6,51.9,31,31,38,15,34
ID984,M,36+,98.13,16,98.75,93.3,50.3,50.3,30,38,26,34,27
ID349,M,31-35,90.26,15,100.43,127.41,65.6,50,28,15,39,14,20
ID222,F,26-30,88.53,19,103.13,94.33,74.6,55.9,34,18,37,11,26
ID80,M,26-30,96.21,15,96.12,94.33,60.3,49.1,35,15,36,16,31
ID324,M,22-25,117.72,21,104.97,94.33,55,58.5,37,40,29,19,34
ID777,M,31-35,111.7,20,119.77,127.41,57.1,50,38,24,37,5,34
ID852,F,26-30,102.15,11,93.49,98.44,46.2,59.9,36,32,46,20,38
ID63,M,31-35,107.12,17,116.89,102.63,49.8,46,24,34,31,20,25
ID587,F,26-30,80.09,11,57.61,89.14,39.9,48.3,30,35,34,20,35
ID967,M,31-35,118.31,20,105.67,117.24,43.9,40.8,33,24,29,17,22
ID1085,F,31-35,114.23,11,107.94,112.66,64.5,71.6,42,21,48,5,37
ID1123,F,26-30,86.26,15,96.86,103.57,47.9,36.8,26,24,31,22,17
ID135,M,26-30,97.07,12,75.77,89.14,34.2,38.7,25,34,29,32,26
ID1064,M,26-30,117.95,17,128.38,107.32,59.7,57.4,30,27,29,17,36
ID419,M,31-35,108.66,18,124.42,112.66,60.1,52.2,37,23,41,10,34
ID1186,M,22-25,98.63,14,112.44,98.44,52,53.5,33,25,36,22,32
ID229,M,31-35,110.45,14,97.73,112.66,55,50,27,36,16,15,26
ID698,F,31-35,90.37,10,90.05,93.3,67.8,65.4,38,24,27,15,39
ID187,M,26-30,96.21,20,98.46,98.44,45.9,60.1,40,26,31,17,29
ID246,F,22-25,107.87,21,125.28,94.33,51.7,50,30,24,35,18,27
ID1196,M,22-25,102.98,23,134.24,94.33,57.1,50,37,28,28,20,24
ID78,F,22-25,103.41,16,129.22,103.57,50.5,52.2,34,26,32,24,32
ID64,F,31-35,99.99,22,90.75,97.6,57.1,64.3,15,44,42,14,34
ID514,M,26-30,113.98,21,101.27,108.26,57.1,50,37,18,31,12,27
ID848,F,26-30,100.02,20,92.51,103.57,40.1,45.9,29,23,39,17,23
ID173,F,26-30,110.04,11,113.48,84.01,55,51.7,32,17,38,18,35
ID950,F,31-35,109.35,12,106.71,102.63,62.8,53.8,32,19,24,17,32
ID1131,M,22-25,106.93,23,72.46,89.14,43.1,50,26,37,23,22,23
ID919,F,31-35,100.76,14,115.61,112.66,41.3,50,36,41,31,18,29
ID995,F,31-35,96.9,23,90.92,127.41,69,55.8,46,23,29,18,37
ID771,F,31-35,121.37,19,137.66,127.41,74.6,57.5,42,29,33,12,38
ID812,F,31-35,107.75,21,114.43,117.24,44.8,43.4,21,19,32,32,23
ID12,F,31-35,90.94,21,90.69,112.66,70.6,71.6,NA,NA,NA,NA,NA
ID511,M,22-25,102.69,18,87.9,108.26,42.2,63.1,26,25,38,23,35
ID540,M,31-35,103.23,16,70.51,107.32,57.7,56.9,36,35,35,9,34
ID130,M,22-25,68.87,15,125.28,94.33,55,51.7,35,24,41,18,25
ID380,M,26-30,108.59,15,136.71,103.57,65.6,58.5,33,26,39,1,31
ID729,F,31-35,115.55,19,136.87,107.32,41.3,38.7,37,22,35,20,26
ID1052,M,26-30,88.63,6,94.32,80.7,43,45.2,30,22,29,23,24
ID1190,F,31-35,118.05,17,144.44,112.66,45.3,40.8,19,24,37,8,21
ID1072,F,31-35,89.26,18,78.35,117.24,58.7,60.1,34,31,43,13,33
ID1189,M,26-30,104.28,17,112.44,98.44,46.1,54.9,32,36,37,30,34
ID295,F,26-30,97.92,11,97.87,94.33,57.1,53.8,29,25,34,16,27
ID343,M,22-25,93.68,20,92.66,113.85,58.9,57.7,43,35,43,0,40
ID1114,M,26-30,96.89,18,83.82,123.73,56.1,55.8,39,35,31,12,32
ID144,M,31-35,94.27,21,81.75,75.82,74.6,71.6,33,21,39,9,36
ID29,F,36+,105.44,15,111.48,107.32,43,49.1,33,19,32,15,39
ID1140,M,26-30,96.58,20,101.68,107.32,55,48.1,26,23,34,13,30
ID981,M,22-25,104.14,20,106.9,118.14,60.1,57.6,29,42,35,13,40
ID1164,M,22-25,108.85,20,118.18,118.14,62.5,58.6,37,24,38,3,39
ID561,F,31-35,101.2,20,86.51,97.6,53.1,50,34,33,40,11,27
ID507,F,31-35,99.76,16,97.78,93.3,60.1,57.8,23,32,32,11,33
ID982,F,26-30,95.1,18,89.85,103.57,43.7,42.7,34,18,42,32,21
ID1074,M,26-30,109.04,23,54.1,118.14,47.3,52.2,30,15,39,11,30
ID651,F,26-30,88.52,20,103.13,118.14,62.8,71.6,43,29,46,6,38
ID120,F,31-35,101.25,7,119.1,102.63,43.1,40.5,31,28,40,30,33
ID875,M,31-35,110.25,15,93.72,127.41,57.7,50,32,39,33,13,30
ID278,M,26-30,108.16,20,81.06,98.44,68.2,57.5,40,23,34,11,35
ID940,F,22-25,107.3,11,101.27,103.57,59.7,53.6,42,26,39,11,37
ID551,M,22-25,103.93,12,130.65,108.26,74.6,71.6,43,30,45,5,36
ID917,M,22-25,105.71,23,121.65,123.73,43.7,35.7,41,33,21,25,22
ID1040,F,26-30,106.37,21,120.42,107.32,55,63.4,37,28,33,19,31
ID442,F,31-35,90.47,16,88.27,84.01,55,38.7,34,30,36,15,24
ID735,M,22-25,95.36,17,80.25,94.33,46,56.7,35,27,37,9,26
ID242,F,31-35,81.7,7,75.06,84.01,74.6,66.5,40,19,44,25,40
ID515,M,22-25,111.05,15,70.21,94.33,55.3,44.1,35,24,29,17,24
ID449,F,26-30,84.55,22,76.63,97.6,52,61.2,41,26,45,10,28
ID616,M,22-25,108.38,20,118.18,123.73,38,52,35,34,27,19,28
ID496,F,26-30,105.69,23,94.2,103.57,59.7,50,38,22,29,12,32
ID199,M,22-25,104.18,13,99.57,103.57,45.9,37.9,29,26,29,26,32
ID598,M,26-30,87.17,24,131.89,89.14,59.9,45.8,31,32,37,9,24
